GEOID,median_income,family_hh,total_hh,pct_bachelors,pct_vacant,pct_white
42101007102,40602,917,1779,10.994930291508238,17.371110078959592,2.7784001792516246
42101007200,50660,1079,1916,24.043897572331225,7.618129218900675,2.0425901781833984
42101007300,71106,672,1415,50.750220653133276,14.44981862152358,22.853495052665178
42101007400,36250,727,1815,35.0336101225781,15.933302454840204,11.653116531165312
42101007700,60817,211,747,69.6577243293247,8.455882352941176,57.1900826446281
42101007800,63348,684,2207,67.24964739069111,6.2446898895497025,57.713169885007595
42101007900,85018,873,2051,72.40026160889471,12.200342465753424,57.18446601941748
42101008000,70526,791,1817,51.344989912575656,11.881668283220174,21.988979270532667
42101008101,47614,765,1040,18.414918414918414,18.55912294440094,11.258529188779379
42101008102,53289,1109,2383,13.902892013796762,7.635658914728682,10.779686615065131
42101008200,35518,1783,3128,24.21808960270499,12.990264255910988,5.102165667441576
